transcript,hippuristanol_tpUTR_max,hippuristanol_tpUTR_average,hippuristanol_tpUTR_std,hippuristanol_tpUTR_gini
PB2015.862.4,1.29266666667,0.2882761904761809,0.3385912941283896,0.614074539041
PB2015.862.1,1.23933333333,0.2681877022653178,0.32067794848533876,0.621491844168
PB2015.14374.3,3.224,0.09695075757575163,0.30769675938395125,0.902407878032
PB2015.14374.2,3.19333333333,0.09857679738560295,0.30660713833115205,0.898565395464
PB2015.13571.3,0.138666666667,0.0063030303030454544,0.028884113471306247,0.954545454545
PB2015.13571.2,0.155,0.0062,0.030373672810511405,0.96
PB2015.13571.5,0.134666666667,0.006121212121227273,0.028050917890405185,0.954545454545
PB2015.13571.4,0.132666666667,0.006317460317476191,0.028252541430068327,0.952380952381
PB2015.13571.6,0.143,0.0065,0.02978674201721296,0.954545454545
PB2015.6745.2,0.877,0.0426797979797997,0.10522575776364022,0.856177542351
PB2015.8409.4,NA,NA,NA,NA
PB2015.8409.2,1.68333333333,0.042344927536213044,0.1672746139851756,0.942918451104
PB2015.13551.4,1.08966666667,0.27825609756102854,0.27348723259490715,0.523034458333
PB2015.7358.2,2.55666666667,0.17020715166462932,0.291190194522139,0.754975099425
PB2015.13551.2,1.56133333333,0.26762589928061964,0.3456031335448674,0.640821020603
PB2015.6294.2,1.241,0.1459965635739062,0.23268424196786927,0.726843434129
PB2015.7358.1,2.409,0.15897194719467736,0.27319352313556966,0.756060292988
PB2015.9903.1,0.807333333333,0.13904954954950272,0.1616194756277031,0.584616509347
PB2015.16625.2,2.33333333333,0.11819947506540159,0.4262570545685994,0.93471739113
PB2015.4999.2,1.992,0.2734761018001147,0.3506744013945645,0.634942561501
PB2015.4999.3,1.86366666667,0.2571399253731224,0.3291771251410574,0.63437733716
PB2015.4999.4,2.28266666667,0.31354127870880577,0.40210618167295403,0.634994000205
PB2015.11270.1,1.78333333333,0.22578934624696395,0.3056296552370888,0.666341197959
PB2015.1346.4,2.10133333333,0.05160320232895284,0.18023879370258772,0.922554671254
PB2015.11270.2,1.84133333333,0.23559674796744465,0.31729510596800825,0.664005553674
PB2015.1346.1,1.63266666667,0.05344880546075256,0.16656305350260736,0.906104080108
PB2015.1346.2,1.70133333333,0.04586421911419668,0.158692948309774,0.921728943521
PB2015.16525.1,1.03366666667,0.07917790262174326,0.20393989821406466,0.875719005721
PB2015.3495.7,1.65566666667,0.24340613847253614,0.29195393326457547,0.609039347325
PB2015.3495.1,1.62966666667,0.23742116630668383,0.28592533854276003,0.61018747778
PB2015.15926.1,0.792666666667,0.13743749999993748,0.19899984187425143,0.695838307185
PB2015.5547.2,1.079,0.1778852813852643,0.22554637806407626,0.64388332121
PB2015.7895.1,0.768666666667,0.11462622950820589,0.15979794677306333,0.682292509233
PB2015.14235.9,NA,NA,NA,NA
PB2015.14235.7,NA,NA,NA,NA
PB2015.14235.5,NA,NA,NA,NA
PB2015.14235.4,NA,NA,NA,NA
PB2015.14235.3,NA,NA,NA,NA
