transcript,GC_content,GA_content,AT_content,AC_content,A_content,C_content,G_content,T_content,length
PB2015.3542.6,0.559090909091,0.477272727273,0.440909090909,0.481818181818,0.2,0.281818181818,0.277272727273,0.240909090909,440
PB2015.3542.3,0.605166051661,0.575645756458,0.394833948339,0.479704797048,0.225092250923,0.254612546125,0.350553505535,0.169741697417,271
PB2015.8.1,0.68,0.52,0.32,0.24,0.04,0.2,0.48,0.28,25
PB2015.3542.9,0.652173913043,0.514492753623,0.347826086957,0.442028985507,0.152173913043,0.289855072464,0.36231884058,0.195652173913,138
PB2015.11644.1,0.777777777778,0.555555555556,0.222222222222,0.444444444444,0.111111111111,0.333333333333,0.444444444444,0.111111111111,45
PB2015.13243.3,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,4
PB2015.5383.1,0.624584717608,0.568106312292,0.375415282392,0.475083056478,0.209302325581,0.265780730897,0.358803986711,0.166112956811,301
PB2015.3897.2,0.813559322034,0.525423728814,0.186440677966,0.491525423729,0.101694915254,0.389830508475,0.423728813559,0.0847457627119,59
PB2015.3897.3,0.805970149254,0.567164179104,0.194029850746,0.44776119403,0.10447761194,0.34328358209,0.462686567164,0.089552238806,67
PB2015.3897.1,0.793650793651,0.539682539683,0.206349206349,0.47619047619,0.111111111111,0.365079365079,0.428571428571,0.0952380952381,63
PB2015.3897.4,0.813559322034,0.508474576271,0.186440677966,0.508474576271,0.101694915254,0.406779661017,0.406779661017,0.0847457627119,59
PB2015.5677.1,0.634615384615,0.519230769231,0.365384615385,0.423076923077,0.153846153846,0.269230769231,0.365384615385,0.211538461538,52
PB2015.5677.2,0.846153846154,0.769230769231,0.153846153846,0.333333333333,0.128205128205,0.205128205128,0.641025641026,0.025641025641,39
PB2015.5677.3,0.666666666667,0.606060606061,0.333333333333,0.424242424242,0.181818181818,0.242424242424,0.424242424242,0.151515151515,33
PB2015.5677.6,0.78125,0.729166666667,0.21875,0.322916666667,0.135416666667,0.1875,0.59375,0.0833333333333,96
PB2015.11217.1,0.709677419355,0.483870967742,0.290322580645,0.41935483871,0.0967741935484,0.322580645161,0.387096774194,0.193548387097,31
PB2015.7497.2,0.723404255319,0.54609929078,0.276595744681,0.390070921986,0.106382978723,0.283687943262,0.439716312057,0.170212765957,141
PB2015.1479.7,0.625550660793,0.541850220264,0.374449339207,0.515418502203,0.215859030837,0.299559471366,0.325991189427,0.15859030837,227
PB2015.7497.6,0.709923664122,0.488549618321,0.290076335878,0.427480916031,0.103053435115,0.324427480916,0.385496183206,0.187022900763,262
PB2015.7497.7,0.768115942029,0.492753623188,0.231884057971,0.391304347826,0.0579710144928,0.333333333333,0.434782608696,0.173913043478,138
PB2015.7497.4,0.629032258065,0.510752688172,0.370967741935,0.41935483871,0.150537634409,0.268817204301,0.360215053763,0.220430107527,186
PB2015.7497.5,0.7,0.508333333333,0.3,0.408333333333,0.108333333333,0.3,0.4,0.191666666667,120
PB2015.635.1,0.583333333333,0.430555555556,0.416666666667,0.347222222222,0.0972222222222,0.25,0.333333333333,0.319444444444,72
PB2015.1584.1,0.688118811881,0.450495049505,0.311881188119,0.50495049505,0.133663366337,0.371287128713,0.316831683168,0.178217821782,202
PB2015.13770.20,0.635514018692,0.560747663551,0.364485981308,0.485981308411,0.205607476636,0.280373831776,0.355140186916,0.158878504673,107
PB2015.15096.2,0.675324675325,0.402597402597,0.324675324675,0.480519480519,0.103896103896,0.376623376623,0.298701298701,0.220779220779,77
PB2015.4786.2,0.491803278689,0.52868852459,0.508196721311,0.438524590164,0.237704918033,0.200819672131,0.290983606557,0.270491803279,244
PB2015.4786.3,0.578703703704,0.513888888889,0.421296296296,0.527777777778,0.231481481481,0.296296296296,0.282407407407,0.189814814815,216
PB2015.8401.1,0.661891117479,0.432664756447,0.338108882521,0.532951289398,0.151862464183,0.381088825215,0.280802292264,0.186246418338,349
