#prior_probability=0.1																	
feature_id	bayes_factor	posterior_probability	alpha0	alpha1	eta1_0	mu_TH1_MCF7.gene	mu_TH2_MCF7.gene	mu_TH3_MCF7.gene	mu_TD1_MCF7.gene	mu_TD2_MCF7.gene	mu_TD3_MCF7.gene		sd_TH1_MCF7.gene	sd_TH2_MCF7.gene	sd_TD1_MCF7.gene	sd_TD2_MCF7.gene	sd_TD3_MCF7.gene
PB2015.1005	0.0360119	0.00398537	4.69743	4.69731	-0.0184108	4.69014	4.70407	4.67016	4.74934	4.67511	4.69794	0.0184299	0.0173132	0.0163916	0.015988	0.0157735	0.0167827
PB2015.10050	0.155016	0.0169324	1.21044	1.20813	-0.0888118	1.2787	1.17865	1.00982	1.39079	1.12639	1.24251	0.144308	0.147383	0.150461	0.120815	0.13762	0.139647
PB2015.10051	0.0767488	0.00845554	1.21229	1.21189	-0.00434654	1.25458	1.28108	1.09564	1.24798	1.24766	1.14256	0.0550131	0.052537	0.05595	0.0521776	0.049536	0.054171
PB2015.10052	1.07791	0.106958	0.47484	0.47006	0.434692	0.81197	0.550937	0.747311	0.337715	0.0033536	0.370683	0.0846691	0.0928174	0.0814617	0.098725	0.111713	0.101874
PB2015.10053	0.641089	0.0664955	-2.62735	-2.75069	0.366454	-2.49154	-2.16195	-3.05269	-3.04018	-14.5791	-14.2722	0.614692	0.531182	0.75683	0.779992	11.3035	10.3219
PB2015.10054	0.232515	0.0251844	2.69231	2.68932	0.175511	2.93125	2.68099	2.74289	2.69537	2.43302	2.66562	0.0276123	0.031446	0.0285524	0.0294419	0.0324959	0.0295863
PB2015.10055	0.293668	0.0315987	1.52969	1.52884	0.158485	1.5629	1.61912	1.64319	1.38705	1.45588	1.49997	0.071844	0.0642939	0.0615615	0.0697935	0.0636193	0.0679696
PB2015.10056	0.729962	0.0750221	-0.0192884	-0.0243329	0.295758	0.0189318	0.19608	0.161098	-0.180546	-0.213366	-0.133051	0.091661	0.0831024	0.0774539	0.0943882	0.0926328	0.0938428
PB2015.10057	0.190045	0.0206794	3.80248	3.80054	0.104728	3.85922	3.86927	3.83714	3.80555	3.74686	3.69192	0.0200339	0.0201303	0.0196156	0.0192437	0.0199847	0.0207646
PB2015.10058	1.04008	0.103592	3.74396	3.74562	0.310491	4.03237	3.84794	3.84811	3.6501	3.5448	3.5573	0.0177645	0.0198222	0.019196	0.021054	0.0228911	0.0232442
PB2015.10059	0.137639	0.0150629	0.547172	0.543564	-0.0341421	0.415783	0.719572	0.424646	0.499546	0.649714	0.533307	0.136382	0.11043	0.126577	0.119245	0.11087	0.120187
PB2015.1006	0.0238117	0.00263876	4.32151	4.32101	-0.00417752	4.28365	4.31919	4.35502	4.3149	4.3213	4.33442	0.0153912	0.0149983	0.0137943	0.0141071	0.0140951	0.0142278
PB2015.10060	0.110243	0.012101	4.74032	4.74034	-0.0644444	4.73514	4.6778	4.71186	4.79686	4.78425	4.73568	0.0195661	0.0196846	0.0186017	0.0173633	0.0166253	0.0179783
PB2015.10061	0.719108	0.0739891	-4.41334	-4.46773	0.183057	-4.32301	-4.26186	-4.5145	-14.3541	-4.53131	-14.1079	1.19743	1.15725	1.21705	9.7086	1.2182	9.81165
PB2015.10062	0.667077	0.0690051	4.87121	4.87247	0.189045	5.0206	4.94627	4.94402	4.81603	4.72218	4.79111	0.012651	0.0127118	0.0117706	0.0125208	0.0126778	0.0129869
PB2015.10063	0.185138	0.0201562	3.03439	3.03511	-0.107892	3.01633	3.003	2.91963	3.14231	3.06993	3.06402	0.0265956	0.0280354	0.0282639	0.023904	0.0239041	0.0246949
PB2015.10064	0.52028	0.0546497	4.31504	4.31435	0.239993	4.4866	4.39654	4.43339	4.31041	4.05249	4.20762	0.0244758	0.0258201	0.0250553	0.0260232	0.0278155	0.0260604
PB2015.10065	0.0369975	0.004094	2.87029	2.87021	-0.0148514	2.87731	2.87101	2.84459	2.87726	2.923	2.8322	0.0324343	0.0323467	0.0293362	0.0313646	0.0281098	0.0297872
PB2015.10066	0.108259	0.0118858	2.34493	2.34376	-0.0788981	2.38349	2.31721	2.20821	2.43187	2.38433	2.34361	0.021183	0.0206356	0.0205381	0.0182655	0.0186919	0.0206197
PB2015.10067	0.632349	0.0656485	-3.46397	-3.45884	0.077987	-3.32814	-13.0844	-3.41573	-3.4055	-3.59384	-13.6124	1.1904	9.32284	1.23007	1.09858	1.2251	9.89575
PB2015.10068	1.01318	0.101185	-0.266831	-0.275145	0.375511	-0.00778347	-0.138748	-0.0880978	-0.385256	-0.445492	-0.602662	0.112981	0.119544	0.114822	0.133077	0.136218	0.148802
PB2015.10069	0.106487	0.0116935	1.78991	1.7923	0.0830676	1.7926	1.88269	1.81705	1.73368	1.80778	1.70393	0.0416156	0.037731	0.0355312	0.0392463	0.0355996	0.0401776
PB2015.1007	0.950012	0.0954785	-5.79699	-5.87916	-0.370073	-8.56595	-8.56254	-7.57329	-4.41149	-8.09871	-5.28749	5.07138	5.16242	4.95487	4.00912	5.32064	4.14814
PB2015.10070	0.692858	0.0714813	3.27054	3.27065	0.156916	3.37524	3.31876	3.35472	3.22167	3.15015	3.20369	0.0228792	0.0235203	0.02227	0.0238464	0.023062	0.0243138
PB2015.10071	0.247447	0.0267584	3.02336	3.02264	0.0999399	3.11787	3.04896	3.0609	2.99655	2.9479	2.96878	0.0207307	0.0213415	0.020189	0.0205679	0.0208963	0.0209936
PB2015.10072	0.946768	0.0951835	-8.70879	-8.68479	0.00466866	-14.5042	-15.0678	-15.3506	-15.0696	-14.4314	-14.6567	9.94042	10.1749	10.746	10.4747	9.90098	10.1535
PB2015.10073	0.0754824	0.00831718	1.72769	1.72693	0.0557269	1.70567	1.77242	1.78914	1.76119	1.6696	1.66282	0.0549263	0.0553106	0.050757	0.0524149	0.050096	0.0541481
PB2015.10074	1.10258	0.109139	1.44132	1.44171	0.406502	1.80197	1.53202	1.63688	1.30843	1.0819	1.30142	0.0552573	0.0640655	0.056225	0.0668491	0.0702215	0.0658916
PB2015.10075	1.70617	0.159363	4.6863	4.68772	0.275904	4.82333	4.80591	4.85683	4.60538	4.4932	4.5509	0.018186	0.0166198	0.0157499	0.0168063	0.0187265	0.0181489
PB2015.10076	0.0652757	0.00720063	2.60027	2.60046	0.0531623	2.58817	2.67222	2.61515	2.59426	2.56597	2.56331	0.0315104	0.0293234	0.0309303	0.0291174	0.0284524	0.0307087
PB2015.10077	0.365445	0.0390205	-0.869148	-0.860514	0.233326	-0.574228	-1.53119	-0.450053	-1.23658	-0.888094	-0.955586	0.397527	0.687664	0.384181	0.453934	0.316382	0.377647
PB2015.10078	0.321809	0.0345222	1.61798	1.6179	0.166367	1.67616	1.74996	1.69195	1.61735	1.47593	1.5039	0.0483189	0.0591936	0.0471168	0.0441886	0.0457468	0.0573312
PB2015.10079	0.431447	0.0457456	4.90142	4.90228	0.163166	4.9523	4.97349	5.03223	4.87876	4.76905	4.81129	0.0142586	0.0138294	0.0128631	0.013871	0.01394	0.0140753
PB2015.1008	0.144948	0.0158501	4.3084	4.3093	-0.0883305	4.23347	4.26885	4.28886	4.29951	4.36081	4.39758	0.0307698	0.0285916	0.0275005	0.0282714	0.0244993	0.0261514
PB2015.10080	0.442683	0.0468811	-0.535855	-0.535728	0.307466	-0.289102	-0.480356	-0.326154	-0.411326	-0.980628	-0.765124	0.166443	0.156779	0.155184	0.165002	0.189435	0.181463
