transcript,control_minus_DMS_fp_10_coverage
PB2015.16776.4,187.644329795
PB2015.7139.16,187.157140727
PB2015.4908.2,187.144886975
PB2015.16776.14,186.884896443
PB2015.2136.1,186.461538462
PB2015.2589.2,186.25498008
PB2015.16264.1,186.214123007
PB2015.9072.7,185.999423077
PB2015.3625.7,185.987403553
PB2015.7299.14,185.76869344
PB2015.5822.6,185.414694369
PB2015.11725.2,185.37283449
PB2015.5089.2,184.861099796
PB2015.14292.4,184.78167364
PB2015.10186.18,184.657697039
PB2015.13849.1,184.028519196
PB2015.4570.4,183.226939706
PB2015.7120.2,182.953566775
PB2015.8893.20,182.946245538
PB2015.16722.17,182.939168877
PB2015.5919.1,182.682056663
PB2015.6717.5,182.648791073
PB2015.4335.1,182.269285376
PB2015.4243.8,182.20950828
PB2015.9801.6,181.925148365
PB2015.1784.4,181.821276596
PB2015.1051.9,181.737542955
PB2015.6427.1,181.113996786
PB2015.16382.4,181.085505735
PB2015.8893.5,181.073354607
PB2015.4610.5,180.981671255
PB2015.6781.2,180.781395349
PB2015.7299.12,180.58407287
PB2015.11599.1,180.464812302
PB2015.11825.5,180.149785364
PB2015.12975.2,179.357699934
PB2015.9820.1,179.066236148
PB2015.3006.1,179.004419476
PB2015.11683.1,178.998425197
PB2015.7345.4,178.966901408
PB2015.13676.1,178.730654782
PB2015.7139.11,178.638311064
PB2015.5416.2,178.091087432
PB2015.3006.2,178.089149102
PB2015.1860.2,177.949573339
PB2015.15538.9,177.91331058
PB2015.16114.1,177.684816754
PB2015.7139.17,177.499171846
PB2015.13402.3,177.437731734
PB2015.4243.2,177.340839633
PB2015.5448.31,177.327564747
PB2015.2108.1,176.914942529
PB2015.16690.5,176.523000523
PB2015.3540.1,176.321555989
PB2015.10273.1,176.320021019
PB2015.10425.3,176.306303879
PB2015.5571.6,176.28365651
PB2015.856.46,176.194071983
PB2015.919.4,176.191482394
PB2015.6781.3,176.001381693
PB2015.16619.3,175.945183973
PB2015.11489.10,175.723779193
PB2015.12077.7,175.713629145
PB2015.3529.2,175.668861386
PB2015.11425.7,174.925690021
PB2015.13137.3,174.863894389
