transcript,hippuristanol_minus_DMS_fp_10_coverage
PB2015.7299.12,170.952753724
PB2015.479.4,170.928255093
PB2015.12264.3,170.877017485
PB2015.5416.2,170.739400975
PB2015.3006.3,170.623441397
PB2015.856.46,170.590989846
PB2015.14221.5,170.479322699
PB2015.8893.8,170.356622805
PB2015.6781.2,170.334269663
PB2015.13300.6,169.840809237
PB2015.8522.5,169.72364489
PB2015.919.4,169.612745496
PB2015.12201.4,169.48
PB2015.4683.7,169.262977099
PB2015.4309.2,168.803841608
PB2015.12129.1,168.790571429
PB2015.6344.1,168.7
PB2015.10960.7,168.670144261
PB2015.11415.13,168.654860335
PB2015.14100.1,168.587016081
PB2015.15464.3,168.360521004
PB2015.6717.6,168.273604767
PB2015.2019.1,168.208810289
PB2015.12452.7,168.195737964
PB2015.803.3,168.112913386
PB2015.16868.3,167.783233111
PB2015.1051.9,167.69664309
PB2015.6717.3,167.391849172
PB2015.15493.2,167.363636364
PB2015.6427.8,167.184468905
PB2015.7921.2,167.087947269
PB2015.10425.3,166.886942675
PB2015.8344.1,166.832173913
PB2015.6781.3,166.831818182
PB2015.5571.7,166.728186715
PB2015.16174.2,166.701798383
PB2015.3625.9,166.60374765
PB2015.11825.5,166.547698834
PB2015.6837.1,166.452454629
PB2015.7139.17,166.39979768
PB2015.2350.8,166.236572118
PB2015.15052.1,166.117976589
PB2015.824.3,166.068017411
PB2015.7139.11,165.99191301
PB2015.13137.4,165.611979167
PB2015.9801.6,165.540013889
PB2015.16619.3,165.263874411
PB2015.697.1,165.191860465
PB2015.9267.8,165.159010601
PB2015.7345.4,165.123532054
PB2015.13300.5,164.993884561
PB2015.10503.3,164.747397655
PB2015.13848.3,164.708755274
PB2015.1992.5,164.671145418
PB2015.2143.4,164.41983871
PB2015.10549.3,163.746924019
PB2015.4166.5,163.431652661
PB2015.2599.5,163.400061181
PB2015.12341.1,163.128205128
PB2015.12612.1,163.069691877
PB2015.11578.1,163.057017544
PB2015.13894.1,163.037524178
PB2015.4243.2,163.028349218
PB2015.930.3,163.021816522
PB2015.16546.1,162.966258806
PB2015.7019.3,162.87644041
PB2015.7120.2,162.575719008
PB2015.15275.2,162.491623932
PB2015.10522.1,162.437759711
PB2015.696.1,162.316572238
PB2015.4354.4,162.308924007
PB2015.1337.3,162.285351979
PB2015.7139.2,162.183560223
PB2015.6861.3,161.890950261
PB2015.13167.5,161.857714286
PB2015.7044.1,161.849283536
PB2015.4610.5,161.841980217
PB2015.7299.7,161.765499561
PB2015.12254.3,161.420676297
PB2015.9312.4,161.416666667
PB2015.15752.1,161.391881389
PB2015.7139.4,161.127146421
PB2015.1542.1,161.002133383
PB2015.588.1,160.917997616
PB2015.12931.1,160.765463918
PB2015.13204.2,160.154589372
PB2015.11906.7,159.973167173
PB2015.3676.11,159.687478441
PB2015.2961.2,159.553700787
PB2015.12248.3,159.524932004
PB2015.15392.3,159.289843708
PB2015.5919.2,159.281851274
PB2015.6479.8,159.224270283
PB2015.11598.2,159.063372226
PB2015.12665.1,158.991919449
PB2015.12248.6,158.98912551
PB2015.16092.4,158.77469641
