transcript,control_fpUTR_max,control_fpUTR_average,control_fpUTR_std,control_fpUTR_gini
PB2015.4483.20,1.336,0.2798717948717752,0.35554783604368534,0.65005187717
PB2015.418.1,NA,NA,NA,NA
PB2015.7778.1,0.985,0.21534285714284654,0.29125318158318003,0.680485477991
PB2015.5507.1,0.616333333333,0.08620114942522931,0.1472735086796732,0.761868032582
PB2015.14019.1,1.31866666667,0.05071794871807692,0.2535897435903846,0.961538461538
PB2015.265.2,0.726666666667,0.1312433862433968,0.19038717820223758,0.708694803595
PB2015.4644.2,1.251,0.3447578347577453,0.31072820338622265,0.497855831651
PB2015.10487.1,1.24833333333,0.2923310023310769,0.2990871439107371,0.552092576907
PB2015.6876.2,1.04066666667,0.17882275132280953,0.2181841999920217,0.617961669467
PB2015.7453.1,NA,NA,NA,NA
PB2015.7321.5,0.840666666667,0.15926406926405196,0.20451671352629314,0.647695061123
PB2015.10954.2,0.976666666667,0.10034776334771169,0.16873949908298852,0.753452057402
PB2015.10954.6,0.765,0.09273848987107551,0.15762488320053036,0.761313832496
PB2015.10954.4,0.738,0.08919444444448259,0.1618306054221485,0.786258797024
PB2015.6313.1,1.59333333333,0.34713194444452083,0.40758268156654043,0.606453928021
PB2015.1768.1,1.37466666667,0.4649320987654573,0.3461812507233536,0.419677441086
PB2015.9969.1,0.861,0.23291666666672692,0.22004704115370982,0.513962485842
PB2015.9969.5,0.976666666667,0.30421960784315066,0.27851245171325884,0.507836868892
PB2015.14724.1,1.15,0.11637541254125733,0.1768951901419316,0.715470747164
PB2015.14724.3,0.717666666667,0.11405772005767385,0.15706535661922047,0.683616940569
PB2015.6228.3,0.493333333333,0.18375757575754542,0.15004089280360794,0.462011273687
PB2015.4485.26,0.745666666667,0.035309002433087586,0.10622945398436616,0.900219501203
PB2015.15672.2,2.15066666667,0.3488222222221333,0.5066876748811175,0.704163746788
PB2015.15672.1,2.669,0.2553634651600791,0.5003876178338903,0.799973467602
PB2015.3555.30,1.122,0.41272043010742904,0.34920370344546636,0.478140104028
PB2015.2737.1,NA,NA,NA,NA
PB2015.7708.2,6.57066666667,1.7720698924729033,1.8028561322155054,0.551477061253
PB2015.10012.1,1.053,0.1361452991452987,0.20957161291418275,0.70251162611
PB2015.10718.1,0.768666666667,0.1897311827957097,0.21012971619882104,0.590169928427
PB2015.4519.25,1.287,0.1849457455113288,0.24438276861863878,0.660619120533
PB2015.9975.1,0.356,0.01112280701754386,0.05848078712103739,0.965991477116
PB2015.850.1,0.831333333333,0.18172861356930975,0.19793429552872976,0.582177807644
PB2015.9975.2,0.471333333333,0.030944444444416668,0.10479413976161144,0.925344105326
PB2015.9975.4,0.351,0.020813333333346663,0.07803800099956103,0.935075806107
PB2015.8238.1,0.416,0.08010000000004999,0.13624349525761414,0.767374115689
PB2015.3015.1,0.390333333333,0.09528395061722222,0.13447525522988743,0.698377050282
PB2015.3754.12,0.991,0.2374292237443616,0.2484722481093671,0.565411439701
PB2015.7828.1,1.55433333333,0.427633663366297,0.3410960606091598,0.441681064682
PB2015.5204.1,NA,NA,NA,NA
PB2015.10855.1,NA,NA,NA,NA
PB2015.9859.18,0.934666666667,0.07468796992482067,0.16311118839641264,0.836464052364
PB2015.1586.1,1.14266666667,0.21288359788365602,0.3318457183796469,0.738960196149
PB2015.3058.1,0.712333333333,0.14324894514762027,0.20992117245559838,0.711446841036
PB2015.5111.1,0.919333333333,0.17497260273968496,0.24423278284746838,0.676902298549
PB2015.3058.2,0.733,0.0904888888889,0.18840102487206442,0.829754011133
PB2015.16718.1,1.35066666667,0.22529304029305167,0.2710071517071428,0.617853815155
PB2015.11198.1,1.90233333333,0.34096874999993987,0.36087040667278053,0.554520786553
PB2015.1429.3,0.858,0.2509921568627529,0.25713770871976127,0.55477215682
PB2015.1429.1,0.930666666667,0.35470114942517245,0.2757949616652499,0.434367216405
PB2015.9511.1,NA,NA,NA,NA
PB2015.12528.1,4.883,0.5944422657953202,0.9751341488856193,0.745569223246
PB2015.15576.3,2.886,0.40638076416347824,0.5676845058952331,0.675015283636
PB2015.8454.1,0.278,0.057398148148122226,0.08943436173133859,0.736789984048
PB2015.16226.1,1.46333333333,0.3910058479530456,0.3793193683446237,0.536806105479
PB2015.6979.2,0.843333333333,0.1266345381526306,0.19737164242314365,0.72863214879
PB2015.16226.2,1.54066666667,0.4175146198830421,0.3996866563641735,0.530832298198
PB2015.7017.3,NA,NA,NA,NA
PB2015.7017.1,1.15166666667,0.278330882353,0.26970437245885753,0.515334798754
PB2015.9612.4,1.712,0.4814230769231154,0.4581081690062051,0.522492743203
PB2015.5583.3,1.211,0.10740703517588948,0.2323771173393744,0.825147696625
PB2015.2197.8,0.908666666667,0.10031991051450334,0.1749683464680468,0.758783627951
PB2015.5583.1,1.481,0.31660436137057946,0.3743822662313669,0.602824429095
PB2015.5583.4,1.17066666667,0.03478125000004167,0.13524482111807684,0.923843008552
PB2015.2713.1,1.80933333333,0.32553664302604535,0.3696124816089546,0.589811012392
PB2015.3213.1,0.546333333333,0.13107471264370346,0.16843304254309932,0.663305881588
PB2015.4519.22,1.106,0.23013181818176953,0.22673831821552465,0.534179686214
PB2015.8396.1,0.660666666667,0.03395299145301282,0.11731375764687706,0.927412822126
PB2015.8396.2,0.474,0.01264444444445,0.07025171321668651,0.970826010545
PB2015.13744.1,0.928333333333,0.29344444444449164,0.24993639314283939,0.466816349552
PB2015.6606.2,3.273,0.292,0.7053476278362857,0.865284748691
PB2015.13055.7,3.30066666667,0.9391827956988613,0.9123121865489084,0.515345330883
PB2015.13055.2,2.149,0.47825170068015715,0.5503291553942465,0.590072650541
PB2015.11844.7,NA,NA,NA,NA
PB2015.503.1,1.387,0.06450103519665622,0.14749296750946184,0.827394924911
PB2015.15650.1,0.597,0.16657333333344,0.1752723726724702,0.568920195309
PB2015.503.3,0.426666666667,0.08532142857142858,0.15271688927876836,0.780486954095
PB2015.11543.1,1.43733333333,0.20040240240247367,0.3191795416598098,0.730001617286
PB2015.11543.2,1.43866666667,0.28299999999998715,0.3649170969607316,0.652427420058
PB2015.6622.3,0.765,0.1648476190476,0.21854051737012767,0.665972285269
PB2015.8425.1,0.799,0.12193902439030489,0.14452137741977578,0.588162474784
PB2015.3203.4,2.085,0.10081849315069522,0.30978054441916497,0.908337238165
