transcript,control_CDS_max,control_CDS_average,control_CDS_std,control_CDS_gini
PB2015.13842.1,1.707,0.499103578154435,0.451993283556519,0.507469571885
PB2015.16480.1,1.67433333333,0.3576012378427152,0.35144116725167107,0.527360753822
PB2015.13557.16,1.394,0.320783033033019,0.290226869347777,0.495009137361
PB2015.9581.2,1.96466666667,0.23496096096096994,0.42516701243848887,0.770168368824
PB2015.2264.5,1.41066666667,0.4416429809358337,0.3266602211388248,0.420296887967
PB2015.14933.1,1.63066666667,0.2147149865096887,0.2651862547130952,0.624525156928
PB2015.8427.2,1.61366666667,0.32615541740669945,0.3200334731569939,0.533943437587
PB2015.6214.2,1.711,0.30366826923077617,0.32036414827105447,0.553144562989
PB2015.2232.1,1.208,0.3051942446042935,0.2944161407730507,0.523781662992
PB2015.15641.10,1.642,0.4273488372093375,0.378502039875333,0.494577711932
PB2015.4419.3,3.398,0.1415716034271579,0.3539185746468175,0.863807914132
PB2015.4419.2,3.30833333333,0.13842450495058417,0.34554033764340336,0.863536246223
PB2015.13557.12,1.37433333333,0.31841017488073536,0.2888647667753383,0.496679567789
PB2015.14055.1,1.88933333333,0.4259823788546006,0.3729463573955258,0.485547603199
PB2015.2370.1,2.124,0.1797811320754906,0.34555794749036944,0.796380486115
PB2015.10871.1,1.72833333333,0.2519549718574743,0.29888312711828297,0.605063840517
PB2015.10871.2,1.76166666667,0.24948655409629833,0.2983305562295273,0.607780145599
PB2015.9148.5,2.22733333333,0.20282738095237912,0.3779980283379078,0.781592004981
PB2015.9148.4,2.323,0.2124010989011136,0.3959266475536155,0.781913192158
PB2015.9148.7,3.616,0.3282857142857363,0.6115484114738617,0.781530075891
PB2015.12131.1,2.17733333333,0.2708312925170857,0.40048785059815994,0.699024573434
PB2015.8184.3,3.00566666667,0.11554214390598767,0.30265572661092127,0.873804462778
PB2015.11184.2,2.52766666667,0.17102774436695736,0.3133084432489199,0.77352321471
PB2015.11251.4,1.61633333333,0.18978841991342907,0.2766348449651366,0.700577684521
PB2015.7193.18,1.82,0.2392117148906376,0.29972388589530125,0.62860127779
PB2015.13568.13,1.75633333333,0.3336761904761952,0.32889645252073185,0.53264735309
PB2015.13568.11,1.73,0.34067483074472915,0.32184121275612876,0.513574337243
PB2015.13568.10,1.72133333333,0.33802189054725024,0.3200464283043823,0.514495074318
PB2015.13568.14,1.72166666667,0.3403596190475967,0.32094022339308775,0.512782717535
PB2015.2442.3,1.362,0.22346031746030007,0.27426672398170054,0.620302778068
PB2015.16169.1,1.73633333333,0.32598850574708965,0.32395815800625627,0.530844033887
PB2015.13568.19,1.715,0.3376630845770887,0.3189745091690425,0.513692873233
PB2015.2442.6,1.19833333333,0.2287742363877099,0.25724023705003957,0.581717317949
PB2015.2442.4,1.11733333333,0.2145272601793805,0.2455331216090649,0.592399774744
PB2015.3542.5,1.81266666667,0.29646605876393584,0.2995354210790536,0.542920293453
PB2015.3542.4,1.849,0.3029989868287686,0.3059208831343515,0.542696262767
PB2015.3542.7,1.79033333333,0.2927007767646554,0.29580422409398344,0.543005817648
PB2015.3542.6,1.827,0.2987054655870333,0.30202672341538506,0.543303404119
PB2015.3542.3,1.78166666667,0.2915376561971996,0.29450001097156925,0.542861460357
PB2015.8.1,1.55633333333,0.3817974087161113,0.3142475179495653,0.457247694071
PB2015.3542.9,1.714,0.2800178993582853,0.2828878911338379,0.542792841366
PB2015.11644.1,1.69,0.30004657534251716,0.3228473589976589,0.569454617451
PB2015.13243.3,1.52033333333,0.24357333333335549,0.2893930914222672,0.610494513782
PB2015.11644.3,1.60166666667,0.27765174129349574,0.30299206405541035,0.575364887507
PB2015.3897.2,1.814,0.44086839577328935,0.3649338010187639,0.460338759883
PB2015.3897.3,1.80366666667,0.43722574447647117,0.3623421965313768,0.460777558023
PB2015.3897.1,1.79866666667,0.4465235350624594,0.3669255513547863,0.457648352219
PB2015.3897.4,1.794,0.4383852065322339,0.3621534471840194,0.459608493801
PB2015.5677.1,1.39766666667,0.4743290488432489,0.32883166195928654,0.394478367446
PB2015.5677.2,1.41233333333,0.4703264781491796,0.3298880899785034,0.398980259637
PB2015.5677.3,1.414,0.43764297800340224,0.3331824421634347,0.432749138778
PB2015.5677.6,1.444,0.47845415595544266,0.3365757204877044,0.40012559088
PB2015.311.6,1.46133333333,0.4182821350762454,0.36760480687578956,0.49015195032
PB2015.7497.2,1.33166666667,0.49869672131147874,0.3626708227726214,0.416137045563
PB2015.7497.1,1.374,0.5130464480875573,0.3741193041832204,0.41720069581
PB2015.7497.6,1.44133333333,0.5108196721309861,0.39105950880995344,0.436540033109
PB2015.7497.7,1.395,0.48846721311480906,0.3771469124249002,0.4398791566
PB2015.7497.4,1.363,0.5031065573769232,0.3708560771960929,0.42151736274
PB2015.7497.5,1.36966666667,0.5047349726776451,0.3725850960576869,0.422072911077
PB2015.635.1,1.50233333333,0.3200666666666836,0.31254399344129596,0.532069539991
PB2015.1856.1,1.526,0.2609901196047678,0.3092418601519588,0.609390070943
PB2015.13770.20,1.94166666667,0.3411726685134433,0.3936832684939742,0.597568333502
PB2015.15096.2,1.76633333333,0.3413790238836781,0.3265622536253424,0.516320244271
PB2015.4786.2,1.57966666667,0.11731510416665625,0.3083556954407057,0.878773668672
PB2015.4786.3,1.52733333333,0.11334244791666406,0.2979266423217468,0.878550300053
PB2015.8401.1,1.806,0.3547686507936469,0.3117539807178598,0.483884346878
PB2015.11900.6,3.42833333333,0.20386540664380842,0.4440832040910452,0.824664763599
PB2015.3317.1,2.336,0.25174373433577824,0.39119982644539025,0.708033250994
